cenario,linha,desligada,convergiu,ilhamento,tensao_min,tensao_max,carregamento_max,critica,status
cenario_1,0,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,1,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,2,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,3,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,4,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,5,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,6,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,7,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,8,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,9,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,10,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,11,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,12,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,13,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_1,14,True,False,False,,,,True,CRÍTICA (erro de convergência)
