cenario,linha_desligada,status,ilhamento,num_componentes_conectados,convergencia
0,0,normal,False,1,True
0,1,normal,False,1,True
0,2,normal,False,1,True
0,3,normal,False,1,True
0,4,normal,False,1,True
0,5,normal,False,1,True
0,6,normal,False,1,True
0,7,normal,False,1,True
0,8,normal,False,1,True
0,9,normal,False,1,True
0,10,normal,False,1,True
0,11,normal,False,1,True
0,12,normal,False,1,True
0,13,normal,False,1,True
0,14,normal,False,1,True
1,0,normal,False,1,True
1,1,normal,False,1,True
1,2,normal,False,1,True
1,3,normal,False,1,True
1,4,normal,False,1,True
1,5,normal,False,1,True
1,6,normal,False,1,True
1,7,normal,False,1,True
1,8,normal,False,1,True
1,9,normal,False,1,True
1,10,normal,False,1,True
1,11,normal,False,1,True
1,12,normal,False,1,True
1,13,normal,False,1,True
1,14,normal,False,1,True
2,0,normal,False,1,True
2,1,normal,False,1,True
2,2,normal,False,1,True
2,3,normal,False,1,True
2,4,normal,False,1,True
2,5,normal,False,1,True
2,6,normal,False,1,True
2,7,normal,False,1,True
2,8,normal,False,1,True
2,9,normal,False,1,True
2,10,normal,False,1,True
2,11,normal,False,1,True
2,12,normal,False,1,True
2,13,normal,False,1,True
2,14,normal,False,1,True
3,0,crítica,False,1,True
3,1,crítica,False,1,True
3,2,crítica,False,1,True
3,3,crítica,False,1,True
3,4,crítica,False,1,True
3,5,crítica,False,1,True
3,6,crítica,False,1,True
3,7,crítica,False,1,True
3,8,crítica,False,1,True
3,9,crítica,False,1,True
3,10,crítica,False,1,True
3,11,crítica,False,1,True
3,12,crítica,False,1,True
3,13,crítica,False,1,True
3,14,crítica,False,1,True
4,0,normal,False,1,True
4,1,normal,False,1,True
4,2,normal,False,1,True
4,3,normal,False,1,True
4,4,normal,False,1,True
4,5,normal,False,1,True
4,6,normal,False,1,True
4,7,normal,False,1,True
4,8,normal,False,1,True
4,9,normal,False,1,True
4,10,normal,False,1,True
4,11,normal,False,1,True
4,12,normal,False,1,True
4,13,normal,False,1,True
4,14,normal,False,1,True
5,0,normal,False,1,True
5,1,normal,False,1,True
5,2,normal,False,1,True
5,3,normal,False,1,True
5,4,normal,False,1,True
5,5,normal,False,1,True
5,6,normal,False,1,True
5,7,normal,False,1,True
5,8,normal,False,1,True
5,9,normal,False,1,True
5,10,normal,False,1,True
5,11,normal,False,1,True
5,12,normal,False,1,True
5,13,normal,False,1,True
5,14,normal,False,1,True
6,0,normal,False,1,True
6,1,normal,False,1,True
6,2,normal,False,1,True
6,3,normal,False,1,True
6,4,normal,False,1,True
6,5,normal,False,1,True
6,6,normal,False,1,True
6,7,normal,False,1,True
6,8,normal,False,1,True
6,9,normal,False,1,True
6,10,normal,False,1,True
6,11,normal,False,1,True
6,12,normal,False,1,True
6,13,normal,False,1,True
6,14,normal,False,1,True
7,0,crítica,False,1,True
7,1,crítica,False,1,True
7,2,crítica,False,1,True
7,3,crítica,False,1,True
7,4,crítica,False,1,True
7,5,crítica,False,1,True
7,6,crítica,False,1,True
7,7,crítica,False,1,True
7,8,crítica,False,1,True
7,9,crítica,False,1,True
7,10,crítica,False,1,True
7,11,crítica,False,1,True
7,12,crítica,False,1,True
7,13,crítica,False,1,True
7,14,crítica,False,1,True
8,0,crítica,False,1,True
8,1,crítica,False,1,True
8,2,crítica,False,1,True
8,3,crítica,False,1,True
8,4,crítica,False,1,True
8,5,crítica,False,1,True
8,6,crítica,False,1,True
8,7,crítica,False,1,True
8,8,crítica,False,1,True
8,9,crítica,False,1,True
8,10,crítica,False,1,True
8,11,crítica,False,1,True
8,12,crítica,False,1,True
8,13,crítica,False,1,True
8,14,crítica,False,1,True
9,0,normal,False,1,True
9,1,normal,False,1,True
9,2,normal,False,1,True
9,3,normal,False,1,True
9,4,normal,False,1,True
9,5,normal,False,1,True
9,6,normal,False,1,True
9,7,normal,False,1,True
9,8,normal,False,1,True
9,9,normal,False,1,True
9,10,normal,False,1,True
9,11,normal,False,1,True
9,12,normal,False,1,True
9,13,normal,False,1,True
9,14,normal,False,1,True
