cenario,linha,desligada,convergiu,ilhamento,tensao_min,tensao_max,carregamento_max,critica,status
cenario_42,0,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,1,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,2,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,3,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,4,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,5,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,6,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,7,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,8,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,9,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,10,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,11,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,12,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,13,True,False,False,,,,True,CRÍTICA (erro de convergência)
cenario_42,14,True,False,False,,,,True,CRÍTICA (erro de convergência)
